customer_id,first_name,last_name,street_address,city,state
1,Jaron,MacGyver,88414 Samantha Creek,West Whitneyview,TN
2,Garry,Parker,816 Rowe Cliffs,North Alexzander,ND
3,Uriel,Erdman,384 Carolyn Common,Port Clemmie,WI
4,Connor,Cremin,1008 Immanuel Ridges,Bayonne,VA
5,Chyna,Moore,1229 Koss Orchard,Bayamon,VA
6,Felicity,Kemmer,27705 Zulauf Gateway,Mohammadton,LA
7,Tara,Bins,288 Helene Tunnel,Roslynfurt,PA
8,Syble,O'Hara,496 Norwood Unions,Hackensack,IA
9,Malcolm,Cummerata,0943 Klocko Estates,North Scottymouth,AR
10,Larry,Hartmann,421 Wellington Streets,South Isobelport,MN
11,Trenton,Cummings,7918 Alexandria Lodge,Schmelerton,ND
12,Melba,Labadie,550 Julia Village,West Anita,HI
13,Aubree,Beier,41229 Kaycee Wells,West Esperanzaburgh,TN
14,Adaline,Cremin,96425 Casper Mill,Titoton,ME
15,Alisha,Hyatt,174 Sauer Green,Ezequielview,TN
16,Easton,Bashirian,2377 Funk Plains,Faheyborough,PA
17,Shyann,Langosh,6211 Lucas Pass,Shieldsside,NV
18,Cooper,Anderson,65579 Noemi Ridges,Dunwoody,TX
19,Abdul,Lemke,7471 Demario Neck,Kansas City,CA
20,Elton,Sawayn,1252 Toy Island,Vonborough,NE
21,Teagan,Lang,0042 Jenifer Run,Stephaniemouth,OK
22,Tressa,Langworth,5975 Murray View,Saginaw,KS
23,Annamarie,Kessler,317 Reichel Lane,Toms River,WA
24,Felix,Denesik,5151 Stroman Course,MacGyverport,NE
25,Angela,McGlynn,854 Brekke Hill,East Jackie,AK
26,Audie,Towne,7604 Christian Pines,Ashlynnbury,HI
27,Felton,Cole,4792 Earlene Groves,Lake Adolphhaven,DE
28,Gaylord,Daugherty,798 Neoma Creek,Lake Richardland,TX
29,Ayden,Smith,01018 Morton Burgs,Robertsfurt,GA
30,Emerson,Schumm,8999 Rafael Shoal,San Leandro,TX
31,Gideon,Schneider,634 Wilfredo Club,Ziemannburgh,NC
